stringa cercata;thread per blocco;ripetizione;dimensione file;throughput
abracadabra;32;1;3000;49152000000,00
abracadabra;32;2;3000;49152000000,00
abracadabra;32;3;3000;49932190476,19
abracadabra;32;4;3000;51569311475,41
abracadabra;32;5;3000;50737548387,10
abracadabra;32;6;3000;50737548387,10
abracadabra;32;7;3000;50737548387,10
abracadabra;32;8;3000;51569311475,41
abracadabra;32;9;3000;50737548387,10
abracadabra;32;10;3000;50737548387,10
abracadabra;32;11;3000;50737548387,10
abracadabra;32;12;3000;46260705882,35
abracadabra;32;13;3000;40853610389,61
abracadabra;32;14;3000;41391157894,74
abracadabra;32;15;3000;41391157894,74
abracadabra;32;16;3000;43092164383,56
abracadabra;32;17;3000;47662545454,55
abracadabra;32;18;3000;49932190476,19
abracadabra;32;19;3000;50737548387,10
abracadabra;32;20;3000;51569311475,41
abracadabra;32;21;3000;51569311475,41
abracadabra;32;22;3000;51569311475,41
abracadabra;32;23;3000;51569311475,41
abracadabra;32;24;3000;51569311475,41
abracadabra;32;25;3000;51569311475,41
abracadabra;32;26;3000;49932190476,19
abracadabra;32;27;3000;48395815384,62
abracadabra;32;28;3000;46260705882,35
abracadabra;32;29;3000;44306028169,01
abracadabra;32;30;3000;43690666666,67
abracadabra;64;1;3000;82782315789,47
abracadabra;64;2;3000;74898285714,29
abracadabra;64;3;3000;78643200000,00
abracadabra;64;4;3000;80659692307,69
abracadabra;64;5;3000;82782315789,47
abracadabra;64;6;3000;85019675675,68
abracadabra;64;7;3000;87381333333,33
abracadabra;64;8;3000;87381333333,33
abracadabra;64;9;3000;89877942857,14
abracadabra;64;10;3000;87381333333,33
abracadabra;64;11;3000;89877942857,14
abracadabra;64;12;3000;89877942857,14
abracadabra;64;13;3000;89877942857,14
abracadabra;64;14;3000;89877942857,14
abracadabra;64;15;3000;89877942857,14
abracadabra;64;16;3000;89877942857,14
abracadabra;64;17;3000;87381333333,33
abracadabra;64;18;3000;85019675675,68
abracadabra;64;19;3000;85019675675,68
abracadabra;64;20;3000;80659692307,69
abracadabra;64;21;3000;78643200000,00
abracadabra;64;22;3000;76725073170,73
abracadabra;64;23;3000;74898285714,29
abracadabra;64;24;3000;74898285714,29
abracadabra;64;25;3000;76725073170,73
abracadabra;64;26;3000;76725073170,73
abracadabra;64;27;3000;78643200000,00
abracadabra;64;28;3000;78643200000,00
abracadabra;64;29;3000;80659692307,69
abracadabra;64;30;3000;80659692307,69
abracadabra;96;1;3000;82782315789,47
abracadabra;96;2;3000;85019675675,68
abracadabra;96;3;3000;87381333333,33
abracadabra;96;4;3000;87381333333,33
abracadabra;96;5;3000;87381333333,33
abracadabra;96;6;3000;89877942857,14
abracadabra;96;7;3000;89877942857,14
abracadabra;96;8;3000;89877942857,14
abracadabra;96;9;3000;89877942857,14
abracadabra;96;10;3000;89877942857,14
abracadabra;96;11;3000;87381333333,33
abracadabra;96;12;3000;87381333333,33
abracadabra;96;13;3000;87381333333,33
abracadabra;96;14;3000;85019675675,68
abracadabra;96;15;3000;80659692307,69
abracadabra;96;16;3000;78643200000,00
abracadabra;96;17;3000;78643200000,00
abracadabra;96;18;3000;78643200000,00
abracadabra;96;19;3000;76725073170,73
abracadabra;96;20;3000;76725073170,73
abracadabra;96;21;3000;78643200000,00
abracadabra;96;22;3000;78643200000,00
abracadabra;96;23;3000;78643200000,00
abracadabra;96;24;3000;80659692307,69
abracadabra;96;25;3000;80659692307,69
abracadabra;96;26;3000;82782315789,47
abracadabra;96;27;3000;85019675675,68
abracadabra;96;28;3000;82782315789,47
abracadabra;96;29;3000;85019675675,68
abracadabra;96;30;3000;85019675675,68
abracadabra;128;1;3000;87381333333,33
abracadabra;128;2;3000;89877942857,14
abracadabra;128;3;3000;87381333333,33
